pageUrl,viewport,run,requestUrl,path,resourceType,mimeType,status,transferredSizeBytes,transferredSize,encodedBodySizeBytes,cache,initiator,extension,fileName,componentTraceNeeded
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,image,image/png,200,1576372,1.50 MB,1576372,no,other,.png,작전실 에셋2-Photoroom.png,yes
/fortune-tea-house,desktop,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EB%A7%90%ED%95%98%EB%8A%94%20%EA%BD%83%EB%8F%BC%EC%A7%80%20%EC%97%B0%EC%9D%B43-Photoroom.png,/DestinyCafe/nobackground/%EB%A7%90%ED%95%98%EB%8A%94%20%EA%BD%83%EB%8F%BC%EC%A7%80%20%EC%97%B0%EC%9D%B43-Photoroom.png,image,image/png,200,1553081,1.48 MB,1553081,no,,.png,말하는 꽃돼지 연이3-Photoroom.png,yes
/neo-operation-room,desktop,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397574,1.33 MB,1397574,no,parser code-destiny.com,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397571,1.33 MB,1397571,no,parser code-destiny.com,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397540,1.33 MB,1397540,no,parser code-destiny.com,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397524,1.33 MB,1397524,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397513,1.33 MB,1397513,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397511,1.33 MB,1397511,no,parser code-destiny.com,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397507,1.33 MB,1397507,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397477,1.33 MB,1397477,no,parser code-destiny.com,.png,작전실 에셋1-Photoroom.png,yes
